question,ground_truth,answers,consensus_answer,correct,level,scenario
"When the thermostat is incorrectly set too high, does the room temperature usually rise above comfort levels?",Yes,"[""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.""]","```
```

Please provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.",0,Observational,HVAC
Is there a historical association between blocked vents and overheating in the building logs?,Yes,"[""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.""]","```
```

Please provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.",0,Observational,HVAC
"If we manually set the thermostat to 22°C (do(set_temp=22)), will the overheating likely reduce?",Yes,"['```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```', '```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```', '```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```']","```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```",0,Interventional,HVAC
"If all vents are forced open (do(vents=open)), will airflow improve and reduce overheating?",Yes,"['Yes', 'Yes', 'Yes']",Yes,1,Interventional,HVAC
"The room overheated because the thermostat was set at 30°C. If the thermostat had been set correctly at 22°C, would the room still have overheated?",No,"['No', 'No', 'No']",No,1,Counterfactual,HVAC
"The HVAC system malfunctioned and caused overheating. If the malfunction had not occurred, would the temperature have remained normal?",Yes,"[""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.""]","```
```

Please provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.",0,Counterfactual,HVAC
"The vents were blocked and overheating happened. If the vents had not been blocked, would the overheating still likely occur?",No,"['No', 'No', 'No']",No,1,Counterfactual,HVAC
Does the security alarm often activate when the hallway motion sensor detects sudden spikes at night?,Yes,"[""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills."", ""```\n```\n\nPlease provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.""]","```
```

Please provide your answer and explain your reasoning.  I'll give you feedback and help you improve your causal thinking skills.",0,Observational,Security
Is there a correlation between strong Wi-Fi interference and false sensor activations?,Yes,"['Yes', 'Yes', 'Yes']",Yes,1,Observational,Security
"If we disable the hallway sensor temporarily (do(sensor=off)), will the alarm stop triggering?",Yes,"['```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```', '```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```', '```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```\n```']","```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```
```",0,Interventional,Security
